Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge
ETMR_vs_HGG-IDH	F-p0 EXIP-P	Forebrain P0 progenitors (refined)	Mouse P0	Proliferating intermediate progenitor cells	2.4813895781637717e-4	3.748389747417457e-4	0.9012276002234452	3.4930096139903815	0	96	NEUROG2, CCNF, RAD51, RRM2, HMGB2, CCNA2, CENPU, CENPF, CDCA2, CENPE, CLSPN, CCNB2, FOXM1, HIST1H2AE, CENPH, CENPK, DLGAP5, KIF15, SPC24, CCNB1, NUF2, AURKB, BUB1, CDC45, TPX2, KIF18A, KIF23, CDC25C, CKAP2L, CDC20, CDCA3, AURKA, MAD2L1, BIRC5, KIF20B, KIF4A, KIF20A, CENPA, PIF1, ARHGAP11A, CDCA8, PLK1, SKA3, BUB1B, KIF11, CDCA5, NEUROD4, TTK, KIF2C, NCAPG, KIFC1, SKA1, CENPM, KIF22, ASPM, ARHGAP11B, CEP55, TOP2A, MKI67, NEIL3, DBF4, NCAPG2, CKS2, MELK, TK1, FBXO5, TACC3, CDK1, HMMR, SPC25, PRC1, KNSTRN, HIST1H1B, NUSAP1, RACGAP1, ESCO2, MIS18BP1, CKS1B, RRM1, INCENP, SHCBP1, UBE2C, HMGN2, PBK, H2AFZ, CKAP2
ETMR_vs_HGG-IDH	F-p0 GRGC-P	Forebrain P0 progenitors (refined)	Mouse P0	Proliferating gliogenic progenitors	2.4679170779861795e-4	3.748389747417457e-4	0.875820518990938	3.3741521799076244	0	93	CCNF, RRM2, HMGB2, CCNA2, CENPF, PLK4, FAM83D, CDCA2, NEK2, CENPE, CCNB2, HIST1H2AE, CENPI, DLGAP5, KIF15, SPC24, DEPDC1, CCNB1, NUF2, AURKB, BUB1, TPX2, KIF23, CDC25C, CKAP2L, CDC20, CDCA3, AURKA, E2F8, MAD2L1, BIRC5, KIF20B, KIF20A, TROAP, CENPA, CDCA8, PLK1, SKA3, BUB1B, KIF11, CDCA5, TTK, KIF2C, NCAPG, KIFC1, SKA1, CENPM, KIF22, SMC4, ASPM, TOP2A, MKI67, NEIL3, ECT2, NDC80, DBF4, CKS2, MELK, TK1, FBXO5, TACC3, CDK1, HMMR, KIF14, CENPN, SPC25, PRC1, KNSTRN, HIST1H1B, NUSAP1, RACGAP1, BORA, ESCO2, MIS18BP1, CDKN3, INCENP, SHCBP1, UBE2C, PBK, H2AFZ, CKAP2, H2AFX, SMC2, GMNN
ETMR_vs_HGG-IDH	F-p0 INIP-P	Forebrain P0 progenitors (refined)	Mouse P0	Proliferating inhibitory neuron intermediate progenitor cells	2.462447672986949e-4	3.748389747417457e-4	0.8752133829001773	3.363044323925049	0	92	HELLS, RRM2, HMGB2, TMPO, CCNA2, CENPF, CDCA2, CENPE, CLSPN, HIST1H2AE, CENPH, CENPK, SPC24, CCNB1, RAD51AP1, NUF2, AURKB, RFC4, CDC45, TPX2, KIF23, CKAP2L, CDC20, CDCA3, AURKA, MAD2L1, BIRC5, KIF4A, TYMS, CDCA8, PLK1, KIF11, CDCA5, TTK, NCAPG, CDCA7, LIG1, KIFC1, SKA1, CENPM, KIF22, SMC4, MCM5, TOP2A, MKI67, NEIL3, NDC80, CKS2, RAD54L, MELK, TK1, FBXO5, TACC3, CDK1, HMMR, SPC25, PRC1, HIST1H1B, NUSAP1, RACGAP1, ASF1B, ESCO2, HIST1H1E, MIS18BP1, CKS1B, RRM1, INCENP, SHCBP1, UBE2C, UBE2T, HMGN2, PBK, H2AFZ, CKAP2, RAN, SMC2, LRR1, GMNN, ANP32E
ETMR_vs_HGG-IDH	GEs_Ctx 9	CGE	Mouse E13.5	CGE 9	2.5043826696719256e-4	3.748389747417457e-4	0.8347344847327633	3.242302451648293	0	99	KIAA0101, EZH2, RRM2, HMGB2, TMPO, CCNA2, CENPF, CDCA2, CENPE, CCNB2, TOX3, PTTG1, LMNB1, SPC24, CCNB1, AURKB, BUB1, RFC4, TPX2, KIF23, CDC25C, CKAP2L, CDC20, CDCA3, AURKA, MDK, MAD2L1, BIRC5, KIF20B, KIF20A, FAM64A, CCDC34, CENPA, TYMS, CDCA8, PLK1, NASP, KIF11, KIF2C, NCAPG, CDCA7, SKA1, CENPM, KIF22, SMC4, TOP2A, MKI67, DBF4, FBXO5, TACC3, CDK1, HMMR, SPC25, PRC1, KNSTRN, CASC5, HIST1H1B, NUSAP1, RACGAP1, ESCO2, MIS18BP1, CKS1B, RRM1, INCENP, SHCBP1, UBE2C, TRIM59, PBK, DEK, CKAP2, ABRACL, H2AFX, SMC2, HAT1, GMNN, ANP32E
ETMR_vs_HGG-IDH	GEs 1	CGE/LGE	Mouse E13-14	CGE/LGE 1	2.5006251562890725e-4	3.748389747417457e-4	0.8259567889284914	3.2037316092355677	0	98	TUBB, MEIS2, HMGB2, CCNA2, CENPF, FAM83D, CDCA2, CENPE, CCNB2, TOX3, PTTG1, HJURP, DLGAP5, KIAA1524, CCNB1, NUF2, BUB1, TPX2, KIF18A, SGOL1, KIF23, CDC25C, CKAP2L, CDC20, CDCA3, AURKA, BIRC5, KIF20B, KIF20A, FAM64A, TROAP, CENPA, PIF1, ARHGAP11A, CDCA8, PLK1, KIF11, TTK, KIF2C, NCAPG, KIFC1, SKA1, KIF22, SMC4, ASPM, CEP55, SPDL1, TOP2A, MKI67, ECT2, NDC80, DBF4, CKS2, FBXO5, TACC3, CDK1, HMMR, SPC25, PRC1, KNSTRN, CASC5, NUSAP1, RACGAP1, G2E3, RND3, MIS18BP1, CKS1B, INCENP, UBE2C, TRIM59, PBK, CKAP2, ABRACL, RAD21, H2AFX, SMC2, ANP32E, CENPL, TERF1
ETMR_vs_HGG-IDH	GEs 4	MGE	Mouse E13-14	MGE 4	2.5043826696719256e-4	3.748389747417457e-4	0.8080811680102726	3.1387747841869964	0	99	SOX11, EZH2, WHSC1, RRM2, TMPO, CENPF, PEG3, CDCA2, CENPE, CCNB2, PTTG1, DLGAP5, KIAA1524, KIF15, CCNB1, NUF2, BUB1, TPX2, KIF23, CDC25C, CKAP2L, CDC20, CCNG2, CDCA3, BIRC5, KIF20B, KIF4A, CCDC34, CENPA, ARHGAP11A, CDCA8, PLK1, NASP, KIF11, TTK, KIF2C, NCAPG, KIF22, SMC4, ASPM, CEP55, SPDL1, TOP2A, MKI67, ECT2, FBXO5, TACC3, CDK1, HMMR, KIF14, SPC25, PRC1, KNSTRN, ELAVL4, CENPJ, CASC5, NUSAP1, RACGAP1, HNRNPA2B1, MIS18BP1, INCENP, UBE2C, TOP2B, CKAP5, CKAP2, HNRNPAB, RAD21, H2AFX, SMC2
ETMR_vs_HGG-IDH	GEs 2	CGE/LGE	Mouse E13-14	CGE/LGE 2	2.4813895781637717e-4	3.748389747417457e-4	0.7744440577241155	3.001617503122808	0	96	MCM6, HELLS, DTL, KIAA0101, CHAF1B, MCM2, E2F7, EZH2, CCNE1, RRM2, MCM4, HNRNPD, E2F1, CLSPN, ORC6, CENPH, CHAF1A, MCM7, PRIM1, RAD51AP1, RFC4, CDC45, RFC3, E2F2, MDK, TYMS, NASP, CDCA7, LIG1, CDC6, SKP2, MCM5, CDT1, MCM3, PAICS, TK1, FBXO5, RANBP1, DTYMK, FEN1, BRCA1, PCNA, PCNA, SMC6, ESCO2, DNAJC9, RRM1, ATAD2, FKBP3, DSCC1, SNRPE, ZNF367, SNRPD1, PBK, RPA3, DEK, ABRACL, SMARCA5, LRR1, HAT1, GMNN, DNMT1, NSMCE4A
ETMR_vs_HGG-IDH	Str/SVZ 5-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 5-Neurogenic progenitor	2.4813895781637717e-4	3.748389747417457e-4	0.7602532529074807	2.946616282962133	0	96	SP8, TUBB, SOX11, EZH2, RRM2, HMGB2, TMPO, CCNA2, STMN1, CENPF, CDCA2, CENPE, TOX3, HJURP, LMNB1, KIF15, SPC24, CCNB1, TPX2, KIF23, CKAP2L, CCNG2, CDCA3, MDK, BIRC5, FAM64A, CCDC34, CENPA, CDCA8, KIF11, CDCA7, SMC4, ASPM, HN1, TOP2A, NCAPD2, MKI67, NEIL3, ECT2, CKS2, PTMA, CDK1, HMMR, SPC25, PRC1, ELAVL4, CASC5, NUSAP1, HMGN1, RACGAP1, MIS18BP1, CKS1B, NRXN3, UBE2C, ATAD2, PBK, H2AFZ, DEK, CKAP2, HNRNPAB, ABRACL, H2AFX, SMC2, ANP32E, INSM1, TUBA1B, MPPED2, SKA2, H1F0
ETMR_vs_HGG-IDH	VSVZ-2 aNSC+TAC+NB	V-SVZ	Mouse adult	VSVZ-2 aNSC+TAC+NB	2.46669955599408e-4	3.748389747417457e-4	0.7513631680658421	2.8706915369673083	0	89	MCM6, NREP, TUBB, SOX11, KIAA0101, HMGB3, EZH2, RRM2, HMGB2, TMPO, CCNA2, STMN1, CENPH, LMNB1, MCM7, SPC24, CDCA3, MDK, BIRC5, FAM64A, TYMS, CDCA8, ODC1, NASP, CDCA7, LIG1, SMC4, HN1, MCM5, TOP2A, NCAPD2, MEX3A, MKI67, STMN2, CKS2, PTMA, IGFBPL1, CDK1, TUBB3, HNRNPA1, ELAVL4, HMGN1, RACGAP1, CKS1B, UBE2C, DCX, SNRPE, PBK, TUBB2B, H2AFZ, HNRNPAB, ABRACL, YBX1, MFAP2, H2AFX, MARCKSL1, RBM3, CRMP1, INSM1, SERF1A
ETMR_vs_HGG-IDH	VSVZ-1 aNSC+TAC+NB	V-SVZ	Mouse adult	VSVZ-1 aNSC+TAC+NB	2.4679170779861795e-4	3.748389747417457e-4	0.7199838592887954	2.773781905813889	0	93	NREP, TUBB, SOX11, KIAA0101, MEIS2, HMGB3, RRM2, HMGB2, STMN1, PTTG1, MCM7, SPC24, MDK, BIRC5, TYMS, CDCA8, ODC1, CDCA7, LIG1, SMC4, HN1, TOP2A, MEX3A, STMN2, CKS2, PTMA, IGFBPL1, RANBP1, TUBB3, HNRNPA1, ISLR2, ELAVL4, SNRPF, PCNA, HMGN1, CKS1B, GNG3, UBE2C, DCX, SNRPE, PBK, TUBB2B, H2AFZ, HNRNPAB, ABRACL, YBX1, MFAP2, H2AFX, SNRPG, MARCKSL1, ACTG1, GAD2, RBM3, CRMP1, TUBA1B, SERF1A, NNAT, PAFAH1B3
