Comparison	Signature	Sample	Age	Cell_type	pval	padj	ES	NES	nMoreExtreme	size	leadingEdge	Dataset
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 5-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 5-Neurogenic progenitor	2.3860653781913624e-4	4.824456651540483e-4	0.7455398731112917	2.903654990761493	0	96	DLX1, DLX2, SP8, DLX5, CDCA3, HMMR, CCNB1, KIF15, KIF23, SPC24, NUSAP1, CDCA8, LMNB1, CASC5, CDK1, TOP2A, DUT, NCAPD2, RACGAP1, FAM64A, SMC4, PRC1, TMPO, CENPE, DEK, ASPM, KIF11, ATAD2, BIRC5, SMC2, CENPA, CKS1B, H2AFZ, HJURP, CKAP2L, PSRC1, TUBA1B, SPC25, CDCA2, TPX2, PBK, CDCA7, CENPF, ARL6IP1, HMGN4, TUBB, MIS18BP1, HN1, CENPP, HNRNPAB, SP9, MDK, UBE2C, MXD3, H2AFX, TIAM2, MPPED2, CCND2, NUDT4, CCDC34, CCNA2, RRM2, HMGB1, SOX11, ECT2, EFCAB11, MKI67, CKAP2, TOX3, HMGB2	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	Str/SVZ 7-Neurogenic progenitor	Striatum	Mouse P9	Str/SVZ 7-Neurogenic progenitor	2.3747328425552126e-4	4.824456651540483e-4	0.7356764933560114	2.8556288963508725	0	93	DLX1, DLX2, CDCA3, TEAD2, E2F1, MMS22L, CLSPN, POU3F2, SNRPB, CENPM, CDCA8, LMNB1, HAT1, TOP2A, DUT, RAD51B, NASP, HELLS, SMC4, PRC1, TMPO, DEK, DCTPP1, ATAD2, BIRC5, SMC2, TIPIN, CENPA, DTL, CKS1B, H2AFZ, LIMA1, USP1, TUBA1B, SPC25, TPX2, LYAR, PBK, CDCA7, SIVA1, CENPF, DTYMK, HMGN4, H2AFY, SETBP1, CENPP, RANBP1, EGFR, CDK2AP1, HNRNPAB, MDK, UBE2C, FKBP3, H2AFX, CCND2, CCDC34, LSM4, SNRPD1, CCNA2, RRM2, HMGB1, SOX11	Anderson et al 2020
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF MGE-RG2	Human fetal cortex/MGE	Human fetal	MGE Radial Glia 2	2.3872045834328001e-4	4.824456651540483e-4	0.6488969128762166	2.545519791864276	0	100	ORC6, RAD51AP1, MCM3, CDK6, VEPH1, RAD18, BRIP1, PCNA, PCNA, WDHD1, KIAA0101, PLK4, TIMELESS, MCM10, CHAF1A, VWA9, MCM9, BRCA2, MCM7, CHEK1, GINS2, MCM5, CDK2, BRCA1, CDK1, MCM4, RBL1, TRIM9, RFC3, HELLS, FEN1, LRR1, CENPU, KNTC1, WDR76, UTP20, DTL, TFDP2, CDC7, LMO1, TYMS, LIPG, C5orf30, PRMT5, ILDR2, EGFR, E2F7, LIMD1, UNG, CCND2, WRN	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-2 aNSC+TAC+NB	V-SVZ	Mouse adult	VSVZ-2 aNSC+TAC+NB	2.3679848448969926e-4	4.824456651540483e-4	0.6294200808240029	2.4215417834640975	0	89	DLX1, DLX2, ARX, CDCA3, KIAA0101, MCM6, CENPH, SPC24, MCM7, MCM5, CDCA8, LMNB1, CDK1, TOP2A, DUT, NASP, NCAPD2, RACGAP1, FAM64A, SMC4, TMPO, HMGB3, BIRC5, RBM3, CKS1B, H2AFZ, TYMS, PBK, CDCA7, HMGN4, HMGN4, TUBB, C11orf31, HN1, LIG1, HNRNPAB, MDK, UBE2C, DCX, H2AFX, TIAM2, CCND2	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF MGE-IPC3	Human fetal cortex/MGE	Human fetal	MGE Progenitors 8	2.3872045834328001e-4	4.824456651540483e-4	0.6087725381996079	2.3881182264557363	0	100	DLX1, DLX2, GAD2, DLX6, DLX5, METAP1D, CDK6, CLSPN, BAZ1A, WDR70, GINS2, TMSB4X, BEST3, MCM2, E2F2, HAT1, HMGN2, RBL1, HELLS, TCF3, CORO1C, CITED2, MYO1B, ZC3H12C, RNASEH2B, USP1, LMO1, TUBA1B, NUDT1, CDCA7, CENPF, RND3, UPF3B, ILDR2, BAZ2B, SP9, CCNE2, PSMB2, CCND2, CRB1, FBXW7	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF RG-early	Human fetal cortex/MGE	Human fetal	earlyRG	2.3872045834328001e-4	4.824456651540483e-4	0.5476897029617201	2.1484999404755585	0	100	NR2E1, OTX1, CDCA3, RAD51AP1, AJUBA, PCNA, PCNA, KIAA0101, CENPN, KIF15, SPC24, CDC25C, HIST1H4C, TTK, HMGN2, NDC80, HIST1H1E, HIST1H1C, FAM64A, CENPU, NCAPG, PRC1, CENPE, PTTG1, CDKN3, CENPW, CKS1B, TNFRSF19, LEF1, TYMS, TFAP2C, PBK, SNHG15, SNHG15, SNHG15, SNHG15, HIST1H2BK, TRIAP1, TSPAN6, VIM, TAF9, UBE2C, DARS	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	VSVZ-1 aNSC+TAC+NB	V-SVZ	Mouse adult	VSVZ-1 aNSC+TAC+NB	2.3747328425552126e-4	4.824456651540483e-4	0.5415001244563349	2.1019067711693227	0	93	DLX1, DLX2, ARX, GAD2, DLX5, PCNA, KIAA0101, SPC24, MCM7, CDCA8, TOP2A, DUT, SMC4, HMGB3, PTTG1, BIRC5, RBM3, CKS1B, H2AFZ, TUBA1B, TYMS, PBK, CDCA7, HMGN4, TUBB, C11orf31, HN1, LIG1, RANBP1, HNRNPAB, SP9, MDK, UBE2C, DCX, H2AFX, TIAM2, CCND2	Mizrak et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF nIN4	Human fetal cortex/MGE	Human fetal	MGE newborn neurons 4	2.3872045834328001e-4	4.824456651540483e-4	0.532857577923453	2.0903158636351176	0	100	DLX1, DLX2, ARX, GAD2, DLX6, DLX5, TAC3, TMEM2, TMSB4X, BEST3, NUP43, LHX6, GAD1, CORO1C, PLS3, SNTG1, MYO1B, RND3, EXOC1, SOX1, SP9, DCX, SLC25A3, PSMD7, SP3, FBXW7	Nowakowski et al 2017
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	F-e15 DRGC	Forebrain E15.5	Mouse E15.5	Dorsal radial glial cells	2.4189646831156264e-4	4.837929366231253e-4	0.45212791595315904	1.7949516536781935	0	109	NR2E1, EMX2, TEAD2, MCM3, MCM6, HES5, GINS2, MCM5, MCM2, HELLS, DEK, LHX2, SUB1, DCTPP1, H2AFZ, FABP7, CDCA7, SIVA1, PAX6, SLC1A3, RANBP1, PLAGL1, MDK, VIM, FKBP3, UNG, CCND2, MT1E, MT1E, PFN1, MT2A, MT2A, GAS1, HES1, GSR, GLO1, APRT, YBX1, HNRNPF, METTL1, EIF5A, SOX9, MT1G, MT1G, MT1H, MT1H	Jessa et al 2019
HGG-G34R.V_vs_HGG-H3.3-K27M-pons	HF nIN1	Human fetal cortex/MGE	Human fetal	MGE newborn neurons 1	2.3872045834328001e-4	4.824456651540483e-4	0.45203703613843255	1.7732696816906393	0	100	DLX1, DLX2, ARX, GAD2, DLX6, DLX5, TMEM2, METAP1D, CDK6, ARL4D, BEST3, LHX6, GAD1, SMARCD1, PLS3, PDGFD, FAM214A, MYO1B, LRRC40, PLXNA2, ST8SIA5, RND3, SOX1, SP9, DCX, CCNE2, FNBP1L, CRB1, KIAA1731	Nowakowski et al 2017
