Sample	Age	Cell_type	Cluster	Dataset
Forebrain E12.5	Mouse E12.5	Ventral radial glial cells	F-e12 VRGC	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Medial ganglionic eminence-derived inhibitory neurons	F-e12 MGINH	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Dorsal radial glial cells	F-e12 DRGC	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Proliferating dorsal radial glial cells	F-e12 DRGC-P	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Cortical excitatory neurons	F-e12 CEXN1	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Cortical inhibitory neurons	F-e12 CINHN	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Excitatory neuron intermediate progenitor cells 1	F-e12 EXIP1	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Thalamic precursors	F-e12 THLP	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Proliferating inhibitory neuron intermediate progenitor cells	F-e12 INIP-P	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Cajal-Retzius neurons	F-e12 CJRZN	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Neurons (Cck)	F-e12 NEUR1	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Meninges	F-e12 MNG	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Cortical hem	F-e12 CHEM	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Thalamic neurons	F-e12 THLN	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Pericytes	F-e12 PERI	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Erythrocytes	F-e12 ERY	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Microglia	F-e12 MGL	Jessa et al 2019
Forebrain E12.5	Mouse E12.5	Endothelial	F-e12 ENDO	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Proliferating dorsal radial glial cells	F-e15 DRGC-P	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Cortical excitatory neurons 1	F-e15 CEXN1	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Excitatory neuron intermediate progenitor cells 1	F-e15 EXIP1	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Medial ganglionic eminence-derived inhibitory neurons	F-e15 MGINH	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Dorsal radial glial cells	F-e15 DRGC	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Proliferating inhibitory neuron intermediate progenitor cells	F-e15 INIP-P	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Excitatory neuron intermediate progenitor cells 2	F-e15 EXIP2	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Ventral radial glial cells	F-e15 VRGC	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Cortical inhibitory neurons	F-e15 CINHN	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Cortical excitatory neurons 2	F-e15 CEXN2	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Proliferating intermediate progenitor cells	F-e15 EXIP-P	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Cajal-Retzius cells	F-e15 CJRZN	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Cortical hem	F-e15 CHEM	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Neurons (Cck)	F-e15 NEUR1	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Meninges	F-e15 MNG	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Pericytes	F-e15 PERI	Jessa et al 2019
Forebrain E15.5	Mouse E15.5	Microglia	F-e15 MGL	Jessa et al 2019
Forebrain P0	Mouse P0	Cortical excitatory neurons 1	F-p0 CEXN1	Jessa et al 2019
Forebrain P0	Mouse P0	Proliferating mixed progenitors, including neuronal and gliogenic progenitors	F-p0 MIXP-P	Jessa et al 2019
Forebrain P0	Mouse P0	Astrocytes 1	F-p0 ASTR1	Jessa et al 2019
Forebrain P0	Mouse P0	Excitatory neuron intermediate progenitor cells 1	F-p0 EXIP1	Jessa et al 2019
Forebrain P0	Mouse P0	Astrocytes 2	F-p0 ASTR2	Jessa et al 2019
Forebrain P0	Mouse P0	Oligodendrocyte precursor cells	F-p0 OPC	Jessa et al 2019
Forebrain P0	Mouse P0	Cortical excitatory neurons 2	F-p0 CEXN2	Jessa et al 2019
Forebrain P0	Mouse P0	Cortical inhibitory neurons	F-p0 CINHN	Jessa et al 2019
Forebrain P0	Mouse P0	Astro-ependymal progenitors	F-p0 ASEP	Jessa et al 2019
Forebrain P0	Mouse P0	Meninges	F-p0 MNG	Jessa et al 2019
Forebrain P0	Mouse P0	Excitatory neuron intermediate progenitor cells 2	F-p0 EXIP2	Jessa et al 2019
Forebrain P0	Mouse P0	Medial ganglionic eminence-derived inhibitory neurons	F-p0 MGINH	Jessa et al 2019
Forebrain P0	Mouse P0	Pericytes	F-p0 PERI	Jessa et al 2019
Forebrain P0	Mouse P0	Microglia	F-p0 MGL	Jessa et al 2019
Forebrain P0	Mouse P0	Macrophages	F-p0 MAC	Jessa et al 2019
Forebrain P0	Mouse P0	Endothelial	F-p0 ENDO	Jessa et al 2019
Forebrain P0	Mouse P0	Choroid plexus	F-p0 CPLX	Jessa et al 2019
Forebrain P0	Mouse P0	Unresolved (Esm1, Gnb3)	F-p0 UNR1	Jessa et al 2019
Forebrain P0	Mouse P0	Cajal-Retzius cells	F-p0 CJRZN	Jessa et al 2019
Forebrain P0	Mouse P0	Ependymal	F-p0 EPEN	Jessa et al 2019
Forebrain P3	Mouse P3	Astrocytes 2	F-p3 ASTR2	Jessa et al 2019
Forebrain P3	Mouse P3	Proliferating inhibitory neuron intermediate progenitor cells	F-p3 INIP-P	Jessa et al 2019
Forebrain P3	Mouse P3	Oligodendrocyte precursor cells	F-p3 OPC	Jessa et al 2019
Forebrain P3	Mouse P3	Astrocytes 1	F-p3 ASTR1	Jessa et al 2019
Forebrain P3	Mouse P3	Proliferating gliogenic progenitors	F-p3 RGC-P	Jessa et al 2019
Forebrain P3	Mouse P3	Cortical excitatory neurons	F-p3 CEXN1	Jessa et al 2019
Forebrain P3	Mouse P3	Mixed neurons including cholinergic & GABAergic	F-p3 NEUR2	Jessa et al 2019
Forebrain P3	Mouse P3	Endothelial	F-p3 ENDO	Jessa et al 2019
Forebrain P3	Mouse P3	Meninges	F-p3 MNG	Jessa et al 2019
Forebrain P3	Mouse P3	Ependymal progenitors	F-p3 EPENP	Jessa et al 2019
Forebrain P3	Mouse P3	Pericytes	F-p3 PERI	Jessa et al 2019
Forebrain P3	Mouse P3	GABAergic medium spiny neurons (MSN) of the striatum	F-p3 SMSN	Jessa et al 2019
Forebrain P3	Mouse P3	Ependymal	F-p3 EPEN	Jessa et al 2019
Forebrain P3	Mouse P3	Migrating, proliferating inhibitory neuron intermediate progenitor cells	F-p3 INIP2-P	Jessa et al 2019
Forebrain P3	Mouse P3	Microglia	F-p3 MGL	Jessa et al 2019
Forebrain P3	Mouse P3	Macrophages	F-p3 MAC	Jessa et al 2019
Forebrain P3	Mouse P3	Astrocytes 3	F-p3 ASTR3	Jessa et al 2019
Forebrain P3	Mouse P3	Newly-forming oligodendrocytes	F-p3 NFOL	Jessa et al 2019
Forebrain P6	Mouse P6	Astrocytes 2	F-p6 ASTR2	Jessa et al 2019
Forebrain P6	Mouse P6	Proliferating mixed progenitors, including neuronal and gliogenic progenitors	F-p6 MIXP-P	Jessa et al 2019
Forebrain P6	Mouse P6	Oligodendrocyte precursor cells	F-p6 OPC	Jessa et al 2019
Forebrain P6	Mouse P6	Endothelial	F-p6 ENDO	Jessa et al 2019
Forebrain P6	Mouse P6	Microglia	F-p6 MGL	Jessa et al 2019
Forebrain P6	Mouse P6	Meninges	F-p6 MNG	Jessa et al 2019
