Sample	Age	Species	Structure	Cluster_number	Cell_type	Cluster	Cell_class	Alias	N_cells	Colour	Dendrogram_order	nGene_min	nUMI_min	percent_mito_min	nGene_mean	nUMI_mean	percent_mito_mean	nGene_max	nUMI_max	percent_mito_max	nGene_sd	nUMI_sd	percent_mito_sd	Signature	Signature_note	median_logFC	n_gene_FC_above_1.5	median_pct.1	median_pct.2	n_gene_pct.1_above_0.5	n_gene_pct.2_above_0.5	Refinement_pons_progenitors	Refinement_forebrain_embryonal_progenitors	Refinement_forebrain_P0_progenitors	Refinement_hg19w_astrocytes	Pons_progenitors_trajectory
Forebrain E12.5	E12.5	Mouse	Forebrain	0	Ventral radial glial cells	F-e12_VRGC	RGC	ct_e12	1558	#D2AE4B	76	640	1516	0.17311021350259664	1485.492297817715	3067.6213093709885	2.1242555404802084	3386	10421	6.028286575469511	395.42915347647573	1204.4190898425757	0.6105943984364643	H2afz, Ptprz1, Ccnd1, Zbtb20, Hes5, Ddah1, Mt3, Dbi, Fabp7, Dek, Qk, Hmgb2, Pantr1, Hmgn2, H2afv, Pdpn, Prdx1, Nes, Ptn, Slc25a5, Ednrb, Ranbp1, Rbp1, Vim, Anp32b, Ckb, Mest, Sox2, Rrm2, Ran, Hspe1, Pea15a, Sox9, Tuba1b, Siva1, Metrn, Phgdh, Ccdc34, Myo10, Notch1, Tipin, Nrarp, Ncl, Mdk, Naa50, Nkx2-1, Mif, Hells, Lig1, Hmgn3, Gng5, Nap1l1, Nasp, Npm1, Mcm3, Usp1, Ptges3, Sox1, Cenpf, Sox21, Eef1d, Top2a, Dut, Hint1, Tmpo, Gnai2, Nr2e1, Cdca3, Lsm5, Larp7, Smc4, Psat1, Fkbp3, Hnrnpf, Pbk, Nucks1, Dctpp1, Cenpm, Hat1, Rfc1, Tmem256, Grb10, Cbx1, Npas3, Mrfap1, Lsm6, Lsm2, Lyar, Tpx2, Gins2, Cdca8, Pmf1, Cdk6, Dtl, Zfp36l1, Mns1, Chic2, Dnajc9, Uhrf1, Smc2	"NA"	0.420680331537483	16	0.628	0.3955	70	37	FALSE	TRUE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	1	Medial ganglionic eminence-derived inhibitory neurons	F-e12_MGINH	Inhibitory neurons	ct_e12	1313	#135ca0	137	754	1518	0.5445881552076242	1255.2863670982483	2500.2284843869	2.3409387952376024	3859	12126	7.515337423312883	414.78043920664044	1260.7273964588562	0.6573147714262959	Dlx2, Dlx6os1, Nrxn3, Tubb3, Sox11, Sp9, Gad2, Gm17750, Dlx1, Arx, Dlx5, Pfn2, Nnat, Tmsb10, Tuba1a, Prdx2, Cd24a, Ftl1, Sox4, Ccdc88a, Nkx2-1, Pou3f4, Stmn1, H3f3a, Mllt11, Malat1, Dcx, Celf4, Stmn2, Runx1t1, Tubb2b, Hist3h2ba, Ubb, Rufy3, Ppdpf, Rtn1, Elavl3, Abracl, Dync1i2, Stmn3, 6330403K07Rik, Dpysl3, Chd3, Maged1, Rnd3, Dynlrb1, Meg3, Mpped2, Gng2, Rbfox2, Carhsp1, Nudt4, Nrep, Tpgs2, Chmp5, Top2b, Tagln3, Bcl11b, Gabarapl2, Ptov1, Dctn3, Atpif1, Wbp1, Cdkn1c, Dbn1, Pak3, Celf3, Ddx5, Nsg1, Cox5a, Cyth2, Aes, Atp6v1e1, Uba1, BC031181, Dnajb6, Usmg5, Pafah1b3, Ahsa2, Ncam1, Trappc2l, Tcf12, Ssbp2, Ubl5, Crabp2, Tsg101, Auts2, Dnaja1, Smarce1, Map1lc3b, Ptms, Chchd2, Foxg1, Ubqln2, Crmp1, Cited2, Mien1, Vta1, Gdi1, Dlgap4	"NA"	0.41736592924926	20	0.6125	0.4355	64	41	FALSE	FALSE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	2	Dorsal radial glial cells	F-e12_DRGC	RGC	ct_e12	1310	#ffaf49	78	697	1518	0.060753341433778855	1612.8748091603054	3513.8885496183207	1.994868242828904	3807	11362	5.064655172413793	443.2465970682762	1438.272980729208	0.6152060221551473	Ldha, Ccnd2, Gas1, Mif, Id4, Pdcd4, Sfrp1, Eno1, Mt1, Hes1, Npm1, Lhx2, Hes5, Pkm, Tpi1, Set, Eif5a, Ybx1, Mdk, Ung, Hells, Ncl, Ranbp1, Sox9, Plagl1, Gapdh, Nfib, Phgdh, Lix1, Anp32b, Siva1, Hmga2, Dctpp1, Gnl3, Dek, Fut9, Prdx1, Fezf2, Pax6, Pgam1, Fam162a, Mcm3, Ttyh1, Creb5, Dbi, Hspe1, Hmgn3, Ran, Emx1, Dmrta2, Cdca7, Gm3764, Vim, Zfp36l1, Hspd1, Mycn, Fkbp3, Lrrn1, Idi1, Pabpc1, Neurog2, Cdv3, Ptn, Sfr1, Mcm6, Nap1l1, Fhl1, Mcm4, Psat1, Pfn1, Gli3, Mcm5, Tcf4, Emx2, Aldoa, Gng5, Gsr, Anp32a, Dut, Nop58, Snrpg, 2810004N23Rik, Fabp7, Gm8730, Prdx6, Mpped2, Gm10073, Gins2, Insig1, Mcm7, Eef1d, Nop56, Ptges3, Slc25a5, Rpa2, Mcm2, Lyar, Nhp2, Msmo1, Tkt	"NA"	0.42333497040650947	15	0.661	0.397	75	33	FALSE	TRUE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	3	Proliferating dorsal radial glial cells	F-e12_DRGC-P	RGC (prolif.)	ct_e12	1288	#ff8f00	79	797	1544	0.10080645161290322	2036.4138198757764	4827.469720496894	1.9870542176375818	3930	14024	8.092738407699038	516.2962281568774	1899.0857974865976	0.6314712595106216	Gas1, H2afz, Hmgb1, Hmgb2, Nusap1, Pax6, Prc1, Top2a, Tuba1b, Hmga2, Creb5, Sfrp1, Cenpf, Sox9, H2afx, Spc25, Id4, Birc5, Ccnd2, Ube2c, Smc4, Cdca8, Ccna2, Hist1h2ap, Cdca3, Emx2, Cks2, Mki67, Cdk1, Hist1h2ae, Dek, Hist1h1b, Cenpe, Ybx1, Zfp36l1, Incenp, Spc24, Smc2, Tpx2, Ccnb1, Gli3, Hes1, Psat1, Dmrta2, Pbk, Nr2e1, Cks1b, Anp32b, Ran, Mis18bp1, Lhx2, Nfib, Usp1, Lockd, Sox2, Plagl1, Ttyh1, Phgdh, Gmnn, Lix1, Lsm2, Aurkb, Cdca2, Efnb1, Hmmr, Hmgn2, Aurka, Plpp3, Racgap1, Kif22, Plk1, Tacc3, Nes, Cdon, Aldoc, Fezf2, Mpped2, Alcam, Rrm2, Fbxo5, Meis2, Gapdh, Esco2, H2afv, Sox6, Tmpo, Cdc20, Etl4, Hist1h1e, Dtl, Dbf4, Kif11, Nfix, Emx1, Cep57, Ranbp1, Hjurp, Sall1, Npm1, Ldha	"NA"	0.546672623578355	43	0.663	0.229	76	17	FALSE	TRUE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	4	Cortical excitatory neurons	F-e12_CEXN1	Excitatory neurons	ct_e12	1199	#c9110e	132	843	1515	0.21635655560363476	1601.5279399499584	3482.0550458715597	2.235302680420143	3992	13721	7.989347536617843	572.8170108258794	1859.4928968300505	0.645865515876168	Actg1, Bcl11a, Celf2, Neurod2, Neurod6, Nfib, Sox11, Tagln3, Tbr1, Tuba1a, Tubb3, Stmn1, Dcx, Tmsb10, Neurod1, Rtn1, Tmsb4x, Mllt11, Map1b, Sorbs2, Igfbpl1, Ftl1, Tubb2b, Pcdh9, Plxna4, Hist3h2ba, Bcl11b, Bhlhe22, Nrep, Stmn2, Islr2, Cnr1, Rnd2, Zbtb18, Rbfox2, Epha5, Nfia, Elavl3, Sox4, Cd24a, Calm2, Cacna2d1, Syt4, Olfm1, Tcf4, Dpysl3, Crmp1, Srrm4, Serpini1, Basp1, Nsg2, Ap3s1, Pcp4, Nav1, Ppp2r2b, Rbfox3, Gria2, Rwdd3, Cbln2, Celf4, Map2, Nsg1, Sstr2, Epha3, Ppp1r14a, Cdk5r1, Ttc28, Rab3a, Cotl1, Myt1l, Nrn1, Thra, Tubb5, Malat1, Stmn3, Cntnap2, Rufy3, Ina, Prdx2, Slc17a6, Nrxn1, Dbn1, Id2, Mfap4, Ank3, Vat1, Fabp5, Nkain3, Gpm6a, Nhlh2, Klf7, Itm2b, Kif21b, Pak7, Elavl4, Uchl1, Sbk1, Ttc3, Kif5c, Ndufv3	"NA"	0.708785122993792	77	0.711	0.3015	68	26	FALSE	FALSE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	5	Cortical inhibitory neurons	F-e12_CINHN	Inhibitory neurons	ct_e12	808	#4a1cc9	139	840	1517	0.6861063464837049	1519.4195544554455	3241.716584158416	2.4165200346516382	3870	12452	6.798579401319127	480.42599174615674	1519.2692522524983	0.7006598020357525	Isl1, Map1b, Stmn2, Tmsb10, Tuba1a, Tubb2b, Tubb3, Zfhx3, Rtn1, Meg3, Stmn3, Ina, Gap43, Stmn1, Malat1, Kif5c, Islr2, Cd24a, Ebf1, Hist3h2ba, Nnat, Gad2, Pcsk1n, Dpysl3, Mapt, Tubb2a, Mllt11, Snrpn, Actg1, Nrxn3, Stmn4, Nefm, Nefl, Cnih2, Celf4, Ubb, Atpif1, Rgs2, Dcx, Sox11, Chd3, Tubb5, Aplp1, Dlx5, Rufy3, Dlx6, Ftl1, Syt1, Nsg1, Ly6h, Crmp1, Runx1t1, Gm1673, Uchl1, Rbfox2, Basp1, Xpr1, Pgrmc1, Slc32a1, Tagln3, Gng3, Rab3a, Maged1, Elavl3, Gpm6a, Tshz2, Pafah1b3, Gm9844, Vcan, Actl6b, Zfhx4, Ptms, Nap1l5, Gdi1, Cdk5r1, Snhg11, 6330403K07Rik, Six3, Plk2, Hist3h2a, Ttc3, Cirbp, Meis2, Igfbpl1, Cd200, Pou3f1, Ahi1, Chd3os, Ank3, Ndn, L1cam, Bex2, Nrxn2, Evl, Celf3, Tubb4a, Rab3c, Calm2, Scn3a, Cfl1	"NA"	0.7079807602285545	79	0.7375	0.3275	72	32	FALSE	FALSE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	6	Excitatory neuron intermediate progenitor cells 1	F-e12_EXIP1	Neuronal progenitors	ct_e12	611	#ff5930	71	852	1528	0.2967359050445104	1592.9819967266776	3446.6382978723404	2.1546299377480147	3596	10836	6.636971046770601	500.6718122780402	1597.8813170518415	0.7275741251985357	Neurog2, Eomes, Gadd45g, Elavl2, Igsf8, Hes6, Elavl4, Neurog1, Rprm, Sstr2, Tmsb4x, Cbfa2t2, Srrm4, Neurod1, Btg2, Sox4, Insm1, Dll1, Prmt8, Emx1, Mfap4, Sox11, Chd7, Mfng, Fam110a, Cplx2, Tmem178, Coro1c, Ebf2, Igfbpl1, Neurod2, Ppp1r14a, Nrp1, Igfbp2, Ppp2r2b, Dhrs4, Ube2s, Magi1, Rnd2, Lzts1, Gadd45a, Tfap2c, Plxna2, Neurod6, Cul1, Dmrta2, Spsb4, Btbd17, Rcor2, Ezh2, Bcl7a, Rbfox3, Hmgn5, Zbtb18, Fezf2, H3f3b, Ddit4, Abracl, E130114P18Rik, Trp53i11, Pgap1, Cotl1, Sorbs2, Tcf4, Afap1, H1f0, Hnrnpab, Nfib, Id2, Top1, Mex3b, Ccnd2, E2f1, Ly6e, F2r, Lhx2, Itm2b, Kif21a, Mtss1, Vps37b, Cacna2d1, Gadd45gip1, H2afv, Eif3m, Kdm1a, H2afy, Cks1b, Tagln3, Cenpe, Rrm2, Pam, Csrp2, Rnf165, Cited2, Syne2, Tpm4, Slc25a5, Hmgb2, Srsf11, Tex30	"NA"	0.5285103363279136	39	0.4985	0.211	50	17	FALSE	FALSE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	7	Thalamic precursors	F-e12_THLP	Other	ct_e12	599	#e4b5fc	75	858	1530	0	1666.4908180300501	3614.086811352254	2.1650423846542277	3467	11536	7.493540051679587	456.0495845604487	1448.6795530070408	0.7081759419175432	Gm29478, Tcf7l2, Olig3, Ptn, Zic1, Shox2, Otx2, Zic4, Id3, Zic5, Fabp7, Rspo3, Barhl2, Ccnd1, Macrod2, Cenpw, Fgf15, Zic3, Pou3f2, H2afz, Wls, Hes5, Nkd1, H2-Ke6, Rsrc1, H2afv, Hmgn2, Zfp36l1, Igfbp2, Dek, Nes, Arl4a, Mdk, Plagl1, Nap1l1, Igfbpl1, Hes1, Prdx1, Vim, Metrn, Hmgb2, Ptprz1, Anp32b, Rfx4, Tuba1b, Fstl1, Tmem47, Tmsb4x, Pdpn, Cbx1, Tfdp2, Gng5, Mest, Rrm2, Larp7, Serpinh1, Id2, 2610001J05Rik, Tpm4, Cxxc4, Npm3, Ehbp1, Siva1, Mrfap1, Tpbg, Btg2, Prdx4, Ptges3, Akr1b3, Top2a, Hist1h1e, Srsf9, Nr2f1, Smc2, Nucks1, Cks1b, Hes6, Lbr, 0610010K14Rik, Tipin, Grb10, Ssr1, Cdca8, Lig1, A430005L14Rik, Pdha1, Sumo3, Nusap1, Tmed10, Glo1, Lyar, Spc25, Mllt3, Sptssa, Uhrf1, Peg12, Hells, Arl6ip4, Ccdc90b, Cks2	"NA"	0.3640123275182555	21	0.52	0.2885	56	18	FALSE	TRUE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	8	Proliferating inhibitory neuron intermediate progenitor cells	F-e12_INIP-P	Neuronal progenitors	ct_e12	540	#8798C8	73	852	1525	0.7194244604316548	1524.3462962962963	3198.6444444444446	2.0469761439639376	3500	10908	4.855254160018236	371.765846475874	1168.146852134139	0.5748951905500772	Dlx2, Dlx1, Hmgb2, Hmgn2, Abracl, Rrm2, H2afz, Top2a, Ube2s, Hmgb1, Sp9, Ascl1, H2afv, Dlx6os1, Spc25, Smc2, Cks2, Tuba1b, Nusap1, Ube2c, Pbk, Ptma, Birc5, Ccnb1, Smc4, H3f3b, Anp32e, Xist, Cdk1, Hat1, Cdca7, Arl6ip1, Prc1, Cdca8, Cenpf, H1f0, Dlx5, Sox11, Ckb, H2afx, Lmo1, Ckap2l, Cenpe, Nkx2-1, Hnrnpab, Tmpo, Hist1h2ae, Cks1b, Hmmr, Ranbp1, Cdca3, Kif2c, Ran, Nucks1, Nasp, Tpx2, Ska2, Sumo2, Mis18bp1, Cdca2, Kif22, Mki67, Cdc20, Cenpa, Ccna2, Fbxo5, Sox4, Zeb2, Trim59, Lsm5, Arx, Hmgb3, Nrxn3, Ncapd2, Kpna2, Ezh2, Mad2l1, Anp32b, Incenp, Gad2, Lockd, Arhgap11a, Clspn, Knstrn, Rad21, Insm1, Aurka, Dll3, Spc24, Ect2, Plk1, Kifc1, Hmgn5, Racgap1, Nuf2, Kif20b, Hist1h2ap, Dek, Gm10282, Pantr1	"NA"	0.617169298192169	57	0.6065	0.269	67	29	FALSE	FALSE	FALSE	FALSE	FALSE
Forebrain E12.5	E12.5	Mouse	Forebrain	9	Cajal-Retzius neurons	F-e12_CJRZN	Other neurons	ct_e12	476	#efb3ca	128	854	1516	0.7340485601355167	1565.1596638655462	3269.121848739496	2.351843250425657	3464	10257	5.360443622920517	482.2122351381593	1500.1643242853336	0.5982273296626128	Tbr1, Nnat, Calb2, Cdkn1a, Samd3, Nhlh2, Lhx1, Stmn2, Lhx1os, Malat1, Tubb3, Ina, Rtn1, Reln, Lhx5, Tmem163, Tuba1a, Map1b, Islr2, Tmsb10, Actg1, Stmn1, Uncx, Stmn3, Rspo3, Cdk5r1, Slc17a6, Kif5c, Nrn1, Sorbs2, Gap43, Klf7, Ank3, Mapt, Tubb2b, Dcx, Ebf1, Sox11, Ap3s1, Sema6a, Map2, Nrp2, Gm1673, Cacna2d1, 6330403K07Rik, Stmn4, Pak7, Ebf2, Ftl1, Ncam1, Rufy3, Scn3a, Tubb2a, Cnih2, Elavl2, Crmp1, Lhx9, Tagln3, Aplp1, Hist3h2ba, Calm2, Serf1, Mllt11, Cd24a, Elavl3, Cnr1, Emx2, Psmd14, Ly6h, Ptprd, Dpysl3, Rbfox2, Wnt7b, Elavl4, Homer2, Celf4, Nrxn1, Crip2, Cenpw, Myt1l, Ctxn1, Gdi1, Nsg1, Snhg11, Meg3, Camk2n1, Ndn, Ttc3, Podxl2, Rcan2, Carhsp1, Map1lc3b, Actl6b, Gm28050, Neurod1, Soga3, Pcsk1n, Basp1, Ankrd12, Dmrta2	"NA"	0.6722681931030214	79	0.6335	0.27	63	23	FALSE	FALSE	FALSE	FALSE	FALSE
